category,categories_all,media_tags,name,gen_pop_reach,all_reach,dem_reach,rep_reach
Internet Related,Internet Related,,100T Nickmercs,0.00380624515128,0.0024870605632856,0.0016444306546695,0.003319597069597
Music||Hip Hop And Rap,Music||Hip Hop And Rap,,2 Chainz,0.0175766097750193,0.0108220743429454,0.0124728513807012,0.0085470085470085
Music||Hip Hop And Rap,Music||Hip Hop And Rap,,21 Savage,0.0064245539177657,0.0039994622571755,0.0040955631399317,0.0020985958485958
Politics / Government,Politics / Government,politician,2Rawtooreal (Political Satire),0.000533359193173,0.0014115749142972,0.0017685386286068,0.0006868131868131
Music||Hip Hop And Rap,Music||Hip Hop And Rap,,50 Cent,0.0290680760279286,0.0218794111716071,0.0238287309959664,0.0177426739926739
Internet Related,Internet Related,,@Dril,0.0053578355314197,0.0142501848490959,0.0169717654359292,0.0083180708180708
Uncategorized,Uncategorized,,@Influencersinthewild,0.0011030837858805,0.0028903676816562,0.0028544834005584,0.0021749084249084
Fashion / Beauty,Fashion / Beauty,,@Karamo,0.0025576997672614,0.0047052497143241,0.0065466956251939,0.0030143467643467
Uncategorized,Uncategorized,,@Mypubliclands,0.0008121605896043,0.0025542784163473,0.0030716723549488,0.0017933455433455
Uncategorized,Uncategorized,,@Nwsl,0.0012000581846392,0.0037305908449284,0.0043748060812907,0.0026709401709401
Uncategorized,Uncategorized,,@Oitnb,0.005563906128782,0.0059487799959669,0.0072292894818492,0.0037393162393162
Sports||Uncategorized,Sports||Uncategorized,,@Phillypolice,0.0007394297905352,0.0031256301673724,0.0031647533354017,0.0028235653235653
Uncategorized,Uncategorized,,@Pumpkintheraccoon,0.0010788401861908,0.0027559319755327,0.0032268073223704,0.0016407203907203
Uncategorized,Uncategorized,,@Repmtg,0.0052972265321955,0.0093432815755864,0.0060812907229289,0.0161401098901098
Uncategorized,Uncategorized,,@Revolttv,0.0047638673390224,0.0040666801102372,0.004778156996587,0.003052503052503
Uncategorized,Uncategorized,,@Shitheadsteve,0.0019273661753297,0.0023190159306311,0.0026062674526838,0.0023656898656898
Uncategorized,Uncategorized,,@Tank.sinatra,0.0012970325833979,0.0022854070041002,0.0023580515048091,0.0017933455433455
Uncategorized,Uncategorized,,@Theofficialsting,0.0011152055857253,0.0022181891510385,0.0021408625504188,0.0017933455433455
Uncategorized,Uncategorized,,@Uflorida,0.0012243017843289,0.0019829266653223,0.0023270245113248,0.0026709401709401
